kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,59.1 MiB,60476,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/.omb/logs,/Users/yaniv/Library/Caches/.omb,false
cache-like,53.9 MiB,55204,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/GeoServices/Resources,/Users/yaniv/Library/Caches/GeoServices,false
support/container,53.5 MiB,54788,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code/WebStorage,/Users/yaniv/Library/Application Support/Code,false
cache-like,47.1 MiB,48272,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/component_crx_cache,/Users/yaniv/Library/Application Support/Comet,false
cache-like,46.4 MiB,47528,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Homebrew/api,/Users/yaniv/Library/Caches/Homebrew,false
support/container,46.3 MiB,47404,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.microsoft.Excel,,false
cache-like,42.1 MiB,43144,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.tipsd/fsCachedData,/Users/yaniv/Library/Caches/com.apple.tipsd,false
cache-like,38.9 MiB,39792,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Cursor/CachedData,/Users/yaniv/Library/Application Support/Cursor,false
support/container,38.5 MiB,39444,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.AvatarUI.AvatarPickerMemojiPicker,,false
support/container,35.6 MiB,36416,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.AppStore,,false
support/container,31.5 MiB,32212,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/OneDrive/settings,/Users/yaniv/Library/Application Support/OneDrive,false
cache-like,29.9 MiB,30600,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Dia/User Data,/Users/yaniv/Library/Caches/Dia,false
cache-like,28.0 MiB,28668,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.e5rt.e5bundlecache/25E253,/Users/yaniv/Library/Caches/com.apple.e5rt.e5bundlecache,false
cache-like,27.6 MiB,28236,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code - Insiders/Cache,/Users/yaniv/Library/Application Support/Code - Insiders,false
support/container,22.6 MiB,23172,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/WasmTtsEngine,/Users/yaniv/Library/Application Support/Comet,false
support/container,20.9 MiB,21444,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Safe Browsing,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,false
cache-like,19.2 MiB,19668,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Google/Chrome Canary,/Users/yaniv/Library/Caches/Google,false
cache-like,19.0 MiB,19484,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.helpd/Generated,/Users/yaniv/Library/Caches/com.apple.helpd,false
cache-like,18.4 MiB,18796,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/component_crx_cache,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,false
