app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
Arc,company.thebrowser.Browser,cache-like-inside-support,13.4 MiB,13736,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/GraphiteDawnCache,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.8 MiB,13132,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/GraphiteDawnCache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,12.2 MiB,12508,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/GraphiteDawnCache,
Oracle Unified Login,com.oraclecorp.int.UnifiedLogin,support/container,11.9 MiB,12232,bundle-id container,/Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,11.8 MiB,12088,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/GraphiteDawnCache,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,11.4 MiB,11708,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/CachedData,
Slack,com.tinyspeck.slackmacgap,cache-like-inside-support,9.2 MiB,9408,cache-like descendant,/Users/yaniv/Library/Application Support/Slack/logs,
Brave Browser,com.brave.Browser,cache-like-inside-support,9.2 MiB,9376,cache-like descendant,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/GrShaderCache,
OneDrive,com.microsoft.OneDrive,cache-like,9.1 MiB,9368,safe fuzzy exact/segment match,/Users/yaniv/Library/Logs/OneDrive,
zoom.us,us.zoom.xos,cache-like,9.1 MiB,9332,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/us.zoom.xos,
Arc,company.thebrowser.Browser,cache-like-inside-support,6.9 MiB,7088,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/GrShaderCache,
Comet,ai.perplexity.comet,cache-like-inside-support,6.8 MiB,6924,cache-like descendant,/Users/yaniv/Library/Application Support/Comet/GraphiteDawnCache,
Comet,ai.perplexity.comet,cache-like-inside-support,6.6 MiB,6736,cache-like descendant,/Users/yaniv/Library/Application Support/Comet/Crashpad,
ChatGPT,com.openai.chat,cache-like,6.4 MiB,6600,bundle-id cache,/Users/yaniv/Library/Caches/com.openai.chat,
Google Chrome,com.google.Chrome,cache-like-inside-support,6.3 MiB,6456,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/GrShaderCache,
Rancher Desktop,io.rancherdesktop.app,cache-like-inside-support,6.2 MiB,6372,cache-like descendant,/Users/yaniv/Library/Application Support/rancher-desktop/electron/Cache,
Rancher Desktop,io.rancherdesktop.app,cache-like-inside-support,6.2 MiB,6372,cache-like descendant,/Users/yaniv/Library/Application Support/Rancher-Desktop/electron/Cache,
Opera,com.operasoftware.Opera,cache-like-inside-support,6.0 MiB,6144,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/GraphiteDawnCache,
Codex,com.openai.codex,cache-like-inside-support,5.9 MiB,6012,cache-like descendant,/Users/yaniv/Library/Application Support/Codex/Cache,
Brave Browser,com.brave.Browser,cache-like-inside-support,5.8 MiB,5904,cache-like descendant,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/GraphiteDawnCache,
Dia,company.thebrowser.dia,cache-like-inside-support,5.6 MiB,5764,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/GraphiteDawnCache,
Google Chrome,com.google.Chrome,cache-like-inside-support,5.6 MiB,5724,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/ShaderCache,
Code,com.microsoft.VSCode,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Code/GPUCache,
Google Chrome,com.google.Chrome,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/GPUCache,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/GPUCache,
Rancher Desktop,io.rancherdesktop.app,cache-like-inside-support,5.6 MiB,5704,cache-like descendant,/Users/yaniv/Library/Application Support/Rancher Desktop/GPUCache,
